Nome do Evento,Data,Localização,Imagem
Formação em Terapia de Casal e Família,"23 FEV
20 DEZ","Av. das Américas, 3333 - Rio de Janeiro, RJ",https://images.sympla.com.br/658634bc790a9-xs.png
ESCOLA DE MAGIA,"SAB, 27 JAN · 16:00","Teatro Fashion Mall - Rio de Janeiro, RJ",https://assets.bileto.sympla.com.br/eventmanager/production/337a03f0djs2kd7lqtee3smnb1hmqlcmfnh7coe6kic31csf20mnvd0gpuk37ua8prb7e16to005cnijj4k7acrab2lnbmnjppfqnbd.webp
Rio - GBM - Ground based movement,"27 JAN
28 JAN","Bodytech - Rio de Janeiro, RJ",https://images.sympla.com.br/655cde8dc5093-xs.png
Curso Formação de Babá Profissional - RJ,"SAB, 13 JAN · 09:00","Alô Babá Rio - Rio de Janeiro, RJ",https://images.sympla.com.br/655b5d23d17f5-xs.png
Passeio Panorâmico de Helicóptero Rio De Janeiro,"07 DEZ
01 MAI","Cristo Redentor - Rio de Janeiro, RJ",https://images.sympla.com.br/64ee0b5da05ca-xs.jpg
INTELIGÊNCIA EMOCIONAL - O Passaporte Para a Liberdade,"SAB, 13 JAN · 08:30","R. Cel. Bernardino de Melo, 2201 - Nova Iguaçu, RJ",https://images.sympla.com.br/6562028d44aa0-xs.png
MENTORIA ONLINE ARTES MARCIAIS E AUTISMO - DE 25 DE FEVEREIRO A 07 DE ABRIL 2024,"25 FEV
07 ABR","Espaço Felipe Nilo - Rio de Janeiro, RJ",https://images.sympla.com.br/65792968c39f9-xs.png
Passeio Guiado - MORRO DO CASTELO,"SAB, 20 JAN · 09:00","Theatro Municipal do Rio de Janeiro - Rio de Janeiro, RJ",https://images.sympla.com.br/6585fabf225c6-xs.jpg
Passeio Guiado - Largo do Machado ao Palácio do Catete,"SAB, 06 JAN · 09:00","Largo do Machado - Catete, Rio de Janeiro - RJ - Rio de Janeiro, RJ",https://images.sympla.com.br/6585fa0c6fa84-xs.jpg
VI Congresso de RH Petrópolis,"10 ABR
11 ABR","Polo EAD da USF (Instituto Teológico Franciscano - ITF) - Petrópolis, RJ",https://images.sympla.com.br/64df559cda48e-xs.jpg
Férias na Agrofloresta do Cultiva,"SEX, 29 DEZ · 11:00","Cultiva - Rio de Janeiro, RJ",https://images.sympla.com.br/657772d06c3e5-xs.png
Passeio Panorâmico de Buzios RJ,"26 DEZ
01 MAI","Mirante do Amor - Armação dos Búzios, RJ",https://images.sympla.com.br/64963d7150b31-xs.jpg
Começar Bem o Ano 2024,"SAB, 06 JAN · 09:00","Espaço Terapêutico Dons em Movimento - Rio de Janeiro, RJ",https://images.sympla.com.br/656f4b93920a8-xs.png
CURSO DE FÉRIAS SDAT 2024 / HIP HOP,"05 JAN
29 JAN","Sdat Arts - Rio de Janeiro, RJ",https://images.sympla.com.br/658b2bee78f58-xs.jpg
CURSO DE FÉRIAS SDAT 2024 / FLEXIBILIDADE,"05 JAN
02 FEV","Sdat Arts - Rio de Janeiro, RJ",https://images.sympla.com.br/658b368f99b31-xs.jpg
CURSO DE FÉRIAS SDAT 2024,"05 JAN
02 FEV","Sdat Arts - Rio de Janeiro, RJ",https://images.sympla.com.br/658b2771b5ae3-xs.jpg
BIOHOF International Congress 3,"17 MAI
18 MAI","Riale Brisa Barra Hotel - Rio de Janeiro, RJ",https://images.sympla.com.br/6530aaf4405b7-xs.png
Oficina de Lettering,"11 DEZ
08 JAN","R. Voluntários da Pátria, 190 - Rio de Janeiro, RJ",https://images.sympla.com.br/6567b2e97e4ff-xs.jpg
CTFP - Certificação e Treinamento Funcional e Performance - Rio de Janeiro,"03 MAI
05 MAI","Bodytech - Recreio Shopping - Rio de Janeiro, RJ",https://images.sympla.com.br/657635028d64d-xs.jpg
18º Seminário PósNRF | 2024 - 23 JAN,"TER, 23 JAN · 08:30","Shopping RioSul - Rio de Janeiro, RJ",https://images.sympla.com.br/65834c0602bd4-xs.png
18º Seminário PósNRF | 2024 - 25 jan,"QUI, 25 JAN · 08:30","Shopping RioSul - Rio de Janeiro, RJ",https://images.sympla.com.br/65834c0602bd4-xs.png
"CURSO DE HOMEOPATIA APLICADA A PESSOAS, SERES VIVOS, AGRICULTURA E AMBIENTES - INSCRIÇÃO","DOM, 24 MAR · 09:00","Espaço Fonte Primordial - Cabo Frio, RJ",https://images.sympla.com.br/61ccd073cb640-xs.png
