Nome do Evento,Data,Localização,Imagem
Pré- Réveillon do Jo & Joe com Grupo Arruda e Balaio Bom,"SAB, 30 DEZ · 12:00","JO&JOE Rio de Janeiro Largo do Boticário - Rio de Janeiro, RJ",https://images.sympla.com.br/656e6c24a86af-xs.jpg
ONDA MÁXIMA - RÉVEILLON,"DOM, 31 DEZ · 20:00","Point de Itaúna - Saquarema, RJ",https://images.sympla.com.br/65785e652d1db-xs.jpg
RITMO DEL MARE,"SEX, 29 DEZ · 18:00","Hotel Fasano Angra dos Reis - Angra dos Reis, RJ",https://images.sympla.com.br/6552545dbc0e6-xs.png
RODRIGO AUAD TURNÊ PRIMAVERA 2023,"SEX, 29 DEZ · 18:00","Selina Búzios - Armação dos Búzios, RJ",https://images.sympla.com.br/6511fece0363b-xs.png
RÉVEILLON 2024 - MIRANTE DA TIJUCA,"DOM, 31 DEZ · 20:30","Mirante da Floresta - Rio de Janeiro, RJ",https://images.sympla.com.br/651de5050ec4a-xs.jpg
Reveillon JO&JOE,"DOM, 31 DEZ · 17:00","Largo do Boticário - Rio de Janeiro, RJ",https://images.sympla.com.br/656a239bed626-xs.jpg
VERÃO NA ILHA COM JEFINHO - TODOS OS DOMINGOS 16H,"17 DEZ
28 JAN","Ilha de Gigoia - Rio de Janeiro, RJ",https://images.sympla.com.br/65733d7ca1c0a-xs.png
RÉVEILLON TBT ROCK BAR | VOODUO + NOTTURNIA + VA' A SURF BAND + VITRINE AVESSA CLUBE DA AERONÁUTICA,"DOM, 31 DEZ · 21:00","Espaço Costa Hall - Rio de Janeiro, RJ",https://images.sympla.com.br/652d7950d54a0-xs.png
Renato Milagres e convidados no Renascença,"SAB, 13 JAN · 16:00","Renascença Clube - Rio de Janeiro, RJ",https://images.sympla.com.br/65857956bac23-xs.jpg
ANJOS DA NOITE / FLASH BACK,"15 DEZ
19 JAN","Bendito Lounge - Duque de Caxias, RJ",https://images.sympla.com.br/657c3d0d29a64-xs.jpg
Sexta com White Party Pré Reveillon | Tributo Coldplay e Banda Fisheye,"SEX, 29 DEZ · 18:00","Brooks Pub Recreio - Rio de Janeiro, RJ",https://images.sympla.com.br/6585c2499f762-xs.jpg
INGRESSOS: PRÉ-REVEILLON DO CELEIRO | GUARDERYA BEACH CLUB - NITERÓI RJ,"SAB, 30 DEZ · 17:00","Guarderya Beach Club - Niterói, RJ",https://images.sympla.com.br/656e7c3c028b9-xs.png
Pré Reveillon do Casuarina no Beco do Rato 30 de dezembro! - sábado!,"SAB, 30 DEZ · 18:00","Beco do Rato - Rio de Janeiro, RJ",https://images.sympla.com.br/657a3cb3e9de8-xs.png
"Sábado com White Party Pré Reveillon | Tributo Queen, Legião e Capital","SAB, 30 DEZ · 18:00","Brooks Pub Recreio - Rio de Janeiro, RJ",https://images.sympla.com.br/6585c26e0e936-xs.jpg
Pré-réveillon da Femme | Última festa lésbica do ano | Copacabana RJ,"SEX, 29 DEZ · 22:00","Substation Bar Club / Balada Zona Sul / Copacabana / Siqueira Campos RJ - Rio de Janeiro, RJ",https://images.sympla.com.br/6581ea52e21fb-xs.jpg
"FESTA ANGEL´S, ABERTURA DO VERÃO, SÃO PEDRO DA ALDEIA","SAB, 30 DEZ · 23:30","Espaço Utopia - São Pedro da Aldeia, RJ",https://images.sympla.com.br/658772ccae358-xs.jpg
PRÉ-REVEILLON BAILÃO CARIOCA 29 DEZ - SEXTA,"SEX, 29 DEZ · 23:00","R. André Cavalcanti, 58 - Rio de Janeiro, RJ",https://images.sympla.com.br/654cb2f05a3dd-xs.jpg
BEEFY WHITE (UNDERWEAR) PARTY,"QUI, 28 DEZ · 22:00","La Cueva - Bar & Disco - Rio de Janeiro, RJ",https://images.sympla.com.br/657b3e8455104-xs.jpg
Sábado com White Party Pré Reveillon | Banda Betta e Tributo CBJR,"SAB, 30 DEZ · 18:00","Brooks Pub (Méier) - Rio de Janeiro, RJ",https://images.sympla.com.br/6585c5d745656-xs.jpg
